Original Tokens,POS Tags,Lemmatized with POS,Lemmatized without POS
reasoning,VBG,reason,reasoning
models,NNS,model,model
like,IN,like,like
openai,JJ,openai,openai
shown,VBN,show,shown
great,JJ,great,great
promise,NN,promise,promise
domains,NNS,domain,domain
like,IN,like,like
math,NN,math,math
physics,NNS,physic,physic
thanks,NNS,thanks,thanks
ability,NN,ability,ability
effectively,RB,effectively,effectively
working,VBG,work,working
complex,JJ,complex,complex
problems,NNS,problem,problem
step,VBP,step,step
step,VB,step,step
reasoning,VBG,reason,reasoning
comes,VBZ,come,come
cost,NN,cost,cost
however,RB,however,however
higher,JJR,high,higher
computing,VBG,compute,computing
latency,RBR,latency,latency
labs,NNS,lab,lab
like,IN,like,like
anthropic,NN,anthropic,anthropic
pursuing,VBG,pursue,pursuing
hybrid,JJ,hybrid,hybrid
model,NN,model,model
architectures,NNS,architecture,architecture
combine,VBP,combine,combine
reasoning,VBG,reason,reasoning
components,NNS,component,component
standard,JJ,standard,standard
elements,NNS,element,element
hybrid,JJ,hybrid,hybrid
models,NNS,model,model
quickly,RB,quickly,quickly
answer,VBP,answer,answer
simple,JJ,simple,simple
questions,NNS,question,question
spending,VBG,spend,spending
additional,JJ,additional,additional
time,NN,time,time
considering,VBG,consider,considering
challenging,VBG,challenge,challenging
queries,NNS,query,query
